No,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Agen,Kantor Agen
37,Rumah Baru 2 Lt 5 Menit Grand Depok City 10 Menit Stasiun Depok,Rp 800 Juta,"Cilodong, Depok",3,2,1,72 m²,66 m²,,
38,"Rumah Murah 2 lantai Modern Minimalis, Dekat Alun-Alun GDC, Depok",Rp 947 Juta,"Cilodong, Depok",2,3,1,60 m²,80 m²,,
39,"Cukup Booking Fee 3Jt,Town House Mewah Rangkapan Jaya Deket Pintu Tol DESARI Harga All In","Rp 1,2 Miliar","Cinangka, Depok",3,3,2,95 m²,107 m²,,
40,Rumah Siap Huni akses 10 menit ke Tol Kukusan dan Krukut,Rp 845 Juta,"Cinere, Depok",2,1,1,85 m²,40 m²,,
41,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
42,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
43,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
44,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
45, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
46,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
47,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
48,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
49,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
50,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
51,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
52,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
53,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
54,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
55,Rumah 2 lantai lokasi dekat mall artha gading,Rp 895 Juta,"Tanjung Priok, Jakarta Utara",2,2,1,32 m²,54 m²,,
56,Rumah Rapih di Giri Loka Bsd Lokasi Strategis Harga Ekonomis,"Rp 3,3 Miliar","BSD Giri Loka, Tangerang",3,3,,240 m²,200 m²,,
57,Rumah Cantik Modern Siap Huni 2 Lantai di Cibubur Ciracas,"Rp 3,2 Miliar","Cibubur, Jakarta Timur",5,3,2,278 m²,250 m²,,
58,Dijual Rumah Murah Kencana Loka Bsd Tanah Luas,"Rp 2,3 Miliar","BSD, Tangerang",3,2,2,200 m²,105 m²,,
59,Y346 Rumah Baru 3 Lantai Modern Strategis Pondok Bambu Jakarta Timur,Rp 2 Miliar,"Pondok Bambu, Jakarta Timur",3,3,1,79 m²,200 m²,,
60,Rumah Furnishes Di Puri Mansion,"Rp 2,65 Miliar","Puri Mansion, Jakarta Barat",3,3,1,90 m²,140 m²,,
61,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
62,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
63,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
64,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
65, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
66,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
67,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
68,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
69,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
70,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
71,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
72,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
73,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
74,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
75,Rumah 2 lantai lokasi dekat mall artha gading,Rp 895 Juta,"Tanjung Priok, Jakarta Utara",2,2,1,32 m²,54 m²,,
76,Rumah Rapih di Giri Loka Bsd Lokasi Strategis Harga Ekonomis,"Rp 3,3 Miliar","BSD Giri Loka, Tangerang",3,3,,240 m²,200 m²,,
77,Rumah Cantik Modern Siap Huni 2 Lantai di Cibubur Ciracas,"Rp 3,2 Miliar","Cibubur, Jakarta Timur",5,3,2,278 m²,250 m²,,
78,Dijual Rumah Murah Kencana Loka Bsd Tanah Luas,"Rp 2,3 Miliar","BSD, Tangerang",3,2,2,200 m²,105 m²,,
79,Y346 Rumah Baru 3 Lantai Modern Strategis Pondok Bambu Jakarta Timur,Rp 2 Miliar,"Pondok Bambu, Jakarta Timur",3,3,1,79 m²,200 m²,,
80,Rumah Furnishes Di Puri Mansion,"Rp 2,65 Miliar","Puri Mansion, Jakarta Barat",3,3,1,90 m²,140 m²,,
81,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
82,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
83,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
84,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
85,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
86,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
87, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
88,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
89,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
90,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
91,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
92,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
93,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
94,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
95,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
96,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
97,Rumah 2 lantai lokasi dekat mall artha gading,Rp 895 Juta,"Tanjung Priok, Jakarta Utara",2,2,1,32 m²,54 m²,,
98,Rumah Rapih di Giri Loka Bsd Lokasi Strategis Harga Ekonomis,"Rp 3,3 Miliar","BSD Giri Loka, Tangerang",3,3,,240 m²,200 m²,,
99,Rumah Cantik Modern Siap Huni 2 Lantai di Cibubur Ciracas,"Rp 3,2 Miliar","Cibubur, Jakarta Timur",5,3,2,278 m²,250 m²,,
100,Dijual Rumah Murah Kencana Loka Bsd Tanah Luas,"Rp 2,3 Miliar","BSD, Tangerang",3,2,2,200 m²,105 m²,,
101,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
102,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
103,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
104,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
105,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
