No,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Agen,Kantor Agen
1941,"Dijual Rumah Cluster Beryl, Summarecon Serpong, Lokasi Strategis, Kamar Tidur luas","Rp 3,5 Miliar","Gading Serpong, Tangerang",4,3,1,170 m²,200 m²,,
1942,"Rumah Taman Giriloka, BSD, Rumah luas di kawasan tenang nyaman dan dekat dengan semua fasilitas kota. Harga sangat menarik untuk pembeli.","Rp 3,5 Miliar","BSD, Tangerang",4,3,1,240 m²,250 m²,,
1943,"Compact House Condet Kramatjati Jaktim 370 Jt Swimingpool,playgnd",Rp 370 Juta,"Kramat Jati, Jakarta Timur",2,1,,20 m²,40 m²,,
1944,DI JUAL RUMAH di RAFFLES HILLS CIBUBUR,Rp 900 Juta,"Raffles Hills, Jakarta Timur",2,1,1,90 m²,80 m²,,
1945,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cimanggis, Depok",2,1,2,75 m²,36 m²,,
1946,"DIJUAL Rumah 2 Lantai Semi Furnish Dalam Komplek di Pondok Kelapa, Duren Sawit  Jakarta Timur","Rp 2,7 Miliar","Pondok Kelapa, Jakarta Timur",4,3,1,153 m²,181 m²,,
1947,Rumah Cluster Elista Village Gading,"Rp 2,1 Miliar","Gading Serpong Elista Village, Tangerang",3,3,2,84 m²,105 m²,,
1948,Dijual Rumah Bagus Strategis Siap Huni Di Graha Bintaro ,"Rp 2,1 Miliar","Graha Bintaro, Jakarta Selatan",4,3,,90 m²,224 m²,,
1949,"Rumah Di Sektor 1 Bintaro, Masih Jakart Selatan Dalam Komplek Elite.","Rp 6,5 Miliar","Sektor 1 - Bintaro, Jakarta Selatan",4,3,2,304 m²,225 m²,,
1950,"DIJUAL CEPAT DAN MURAH RUMAH SIAP HUNI di Jalan H.Usa, Patatnutug Ciseeng ",Rp 350 Juta,"Ciseeng, Bogor",2,1,1,72 m²,72 m²,,
1951,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cibubur, Jakarta Timur",2,1,2,75 m²,36 m²,,
1952,"Jual Cepat Rumah Siap Huni, Di Graha Bintaro","Rp 2,67 Miliar","Graha Bintaro, Jakarta Selatan",2,1,1,160 m²,90 m²,,
1953,Rumah 2 Lantai Gaya Eropa Siap Huni Di Kepala Dua Depok ,Rp 880 Juta,"Kelapa Dua, Depok",3,2,1,58 m²,72 m²,,
1954,Dijual Rumah Kencana Loka Bsd Baru Renov Dekat Sekolah Cikal,"Rp 3,15 Miliar","BSD, Tangerang",4,3,2,200 m²,130 m²,,
1955,Rumah Dijual Cepat Di Cluster Green Park Serpong Garden Cisauk Tangerang,Rp 950 Juta,"Cisauk, Tangerang",3,2,1,84 m²,70 m²,,
1956,Rumah Jepang Semi Furnished 1.5 Lantai akses 5menit ke Tol Desari,Rp 748 Juta,"Pancoran Mas, Depok",3,2,1,60 m²,55 m²,,
1957,Rumah Cantik Wijaya Kesuma Jakarta Barat,"Rp 3,5 Miliar","Grogol, Jakarta Barat",3,3,1,132 m²,200 m²,,
1958,Rumah siap huni spek Bata Merah Akses 8 menit ke MRT Lebak Bulus,"Rp 6,9 Miliar","Lebak Bulus, Jakarta Selatan",4,5,2,313 m²,280 m²,,
1959,Rumah Jual Murah Seperti Baru Di Kota Wisata,"Rp 1,6 Miliar","Kota Wisata, Jakarta Timur",4,4,2,128 m²,200 m²,,
1960,Dijual Rumah Strategis di Daerah Tebet,"Rp 9,7 Miliar","Tebet, Jakarta Selatan",5,4,2,216 m²,430 m²,,
1961,"Dijual Rumah Cluster Beryl, Summarecon Serpong, Lokasi Strategis, Kamar Tidur luas","Rp 3,5 Miliar","Gading Serpong, Tangerang",4,3,1,170 m²,200 m²,,
1962,"Rumah Taman Giriloka, BSD, Rumah luas di kawasan tenang nyaman dan dekat dengan semua fasilitas kota. Harga sangat menarik untuk pembeli.","Rp 3,5 Miliar","BSD, Tangerang",4,3,1,240 m²,250 m²,,
1963,"Compact House Condet Kramatjati Jaktim 370 Jt Swimingpool,playgnd",Rp 370 Juta,"Kramat Jati, Jakarta Timur",2,1,,20 m²,40 m²,,
1964,DI JUAL RUMAH di RAFFLES HILLS CIBUBUR,Rp 900 Juta,"Raffles Hills, Jakarta Timur",2,1,1,90 m²,80 m²,,
1965,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cimanggis, Depok",2,1,2,75 m²,36 m²,,
1966,"DIJUAL Rumah 2 Lantai Semi Furnish Dalam Komplek di Pondok Kelapa, Duren Sawit  Jakarta Timur","Rp 2,7 Miliar","Pondok Kelapa, Jakarta Timur",4,3,1,153 m²,181 m²,,
1967,Rumah Cluster Elista Village Gading,"Rp 2,1 Miliar","Gading Serpong Elista Village, Tangerang",3,3,2,84 m²,105 m²,,
1968,Dijual Rumah Bagus Strategis Siap Huni Di Graha Bintaro ,"Rp 2,1 Miliar","Graha Bintaro, Jakarta Selatan",4,3,,90 m²,224 m²,,
1969,"Rumah Di Sektor 1 Bintaro, Masih Jakart Selatan Dalam Komplek Elite.","Rp 6,5 Miliar","Sektor 1 - Bintaro, Jakarta Selatan",4,3,2,304 m²,225 m²,,
1970,"DIJUAL CEPAT DAN MURAH RUMAH SIAP HUNI di Jalan H.Usa, Patatnutug Ciseeng ",Rp 350 Juta,"Ciseeng, Bogor",2,1,1,72 m²,72 m²,,
1971,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cibubur, Jakarta Timur",2,1,2,75 m²,36 m²,,
1972,"Jual Cepat Rumah Siap Huni, Di Graha Bintaro","Rp 2,67 Miliar","Graha Bintaro, Jakarta Selatan",2,1,1,160 m²,90 m²,,
1973,Rumah 2 Lantai Gaya Eropa Siap Huni Di Kepala Dua Depok ,Rp 880 Juta,"Kelapa Dua, Depok",3,2,1,58 m²,72 m²,,
1974,Dijual Rumah Kencana Loka Bsd Baru Renov Dekat Sekolah Cikal,"Rp 3,15 Miliar","BSD, Tangerang",4,3,2,200 m²,130 m²,,
1975,Rumah Dijual Cepat Di Cluster Green Park Serpong Garden Cisauk Tangerang,Rp 950 Juta,"Cisauk, Tangerang",3,2,1,84 m²,70 m²,,
1976,Rumah Jepang Semi Furnished 1.5 Lantai akses 5menit ke Tol Desari,Rp 748 Juta,"Pancoran Mas, Depok",3,2,1,60 m²,55 m²,,
1977,Rumah Cantik Wijaya Kesuma Jakarta Barat,"Rp 3,5 Miliar","Grogol, Jakarta Barat",3,3,1,132 m²,200 m²,,
1978,Rumah siap huni spek Bata Merah Akses 8 menit ke MRT Lebak Bulus,"Rp 6,9 Miliar","Lebak Bulus, Jakarta Selatan",4,5,2,313 m²,280 m²,,
1979,Rumah Jual Murah Seperti Baru Di Kota Wisata,"Rp 1,6 Miliar","Kota Wisata, Jakarta Timur",4,4,2,128 m²,200 m²,,
1980,Dijual Rumah Strategis di Daerah Tebet,"Rp 9,7 Miliar","Tebet, Jakarta Selatan",5,4,2,216 m²,430 m²,,
1981,"Dijual Rumah Cluster Beryl, Summarecon Serpong, Lokasi Strategis, Kamar Tidur luas","Rp 3,5 Miliar","Gading Serpong, Tangerang",4,3,1,170 m²,200 m²,,
1982,"Rumah Taman Giriloka, BSD, Rumah luas di kawasan tenang nyaman dan dekat dengan semua fasilitas kota. Harga sangat menarik untuk pembeli.","Rp 3,5 Miliar","BSD, Tangerang",4,3,1,240 m²,250 m²,,
1983,"Compact House Condet Kramatjati Jaktim 370 Jt Swimingpool,playgnd",Rp 370 Juta,"Kramat Jati, Jakarta Timur",2,1,,20 m²,40 m²,,
1984,DI JUAL RUMAH di RAFFLES HILLS CIBUBUR,Rp 900 Juta,"Raffles Hills, Jakarta Timur",2,1,1,90 m²,80 m²,,
1985,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cimanggis, Depok",2,1,2,75 m²,36 m²,,
1986,"DIJUAL Rumah 2 Lantai Semi Furnish Dalam Komplek di Pondok Kelapa, Duren Sawit  Jakarta Timur","Rp 2,7 Miliar","Pondok Kelapa, Jakarta Timur",4,3,1,153 m²,181 m²,,
1987,Rumah Cluster Elista Village Gading,"Rp 2,1 Miliar","Gading Serpong Elista Village, Tangerang",3,3,2,84 m²,105 m²,,
1988,Dijual Rumah Bagus Strategis Siap Huni Di Graha Bintaro ,"Rp 2,1 Miliar","Graha Bintaro, Jakarta Selatan",4,3,,90 m²,224 m²,,
1989,"Rumah Di Sektor 1 Bintaro, Masih Jakart Selatan Dalam Komplek Elite.","Rp 6,5 Miliar","Sektor 1 - Bintaro, Jakarta Selatan",4,3,2,304 m²,225 m²,,
1990,"DIJUAL CEPAT DAN MURAH RUMAH SIAP HUNI di Jalan H.Usa, Patatnutug Ciseeng ",Rp 350 Juta,"Ciseeng, Bogor",2,1,1,72 m²,72 m²,,
1991,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cibubur, Jakarta Timur",2,1,2,75 m²,36 m²,,
1992,"Jual Cepat Rumah Siap Huni, Di Graha Bintaro","Rp 2,67 Miliar","Graha Bintaro, Jakarta Selatan",2,1,1,160 m²,90 m²,,
1993,Rumah 2 Lantai Gaya Eropa Siap Huni Di Kepala Dua Depok ,Rp 880 Juta,"Kelapa Dua, Depok",3,2,1,58 m²,72 m²,,
1994,Dijual Rumah Kencana Loka Bsd Baru Renov Dekat Sekolah Cikal,"Rp 3,15 Miliar","BSD, Tangerang",4,3,2,200 m²,130 m²,,
1995,Rumah Dijual Cepat Di Cluster Green Park Serpong Garden Cisauk Tangerang,Rp 950 Juta,"Cisauk, Tangerang",3,2,1,84 m²,70 m²,,
1996,Rumah Jepang Semi Furnished 1.5 Lantai akses 5menit ke Tol Desari,Rp 748 Juta,"Pancoran Mas, Depok",3,2,1,60 m²,55 m²,,
1997,Rumah Cantik Wijaya Kesuma Jakarta Barat,"Rp 3,5 Miliar","Grogol, Jakarta Barat",3,3,1,132 m²,200 m²,,
1998,Rumah siap huni spek Bata Merah Akses 8 menit ke MRT Lebak Bulus,"Rp 6,9 Miliar","Lebak Bulus, Jakarta Selatan",4,5,2,313 m²,280 m²,,
1999,Rumah Jual Murah Seperti Baru Di Kota Wisata,"Rp 1,6 Miliar","Kota Wisata, Jakarta Timur",4,4,2,128 m²,200 m²,,
2000,Dijual Rumah Strategis di Daerah Tebet,"Rp 9,7 Miliar","Tebet, Jakarta Selatan",5,4,2,216 m²,430 m²,,
2001,"Dijual Rumah Cluster Beryl, Summarecon Serpong, Lokasi Strategis, Kamar Tidur luas","Rp 3,5 Miliar","Gading Serpong, Tangerang",4,3,1,170 m²,200 m²,,
2002,"Rumah Taman Giriloka, BSD, Rumah luas di kawasan tenang nyaman dan dekat dengan semua fasilitas kota. Harga sangat menarik untuk pembeli.","Rp 3,5 Miliar","BSD, Tangerang",4,3,1,240 m²,250 m²,,
2003,"Compact House Condet Kramatjati Jaktim 370 Jt Swimingpool,playgnd",Rp 370 Juta,"Kramat Jati, Jakarta Timur",2,1,,20 m²,40 m²,,
2004,DI JUAL RUMAH di RAFFLES HILLS CIBUBUR,Rp 900 Juta,"Raffles Hills, Jakarta Timur",2,1,1,90 m²,80 m²,,
2005,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cimanggis, Depok",2,1,2,75 m²,36 m²,,
2006,"DIJUAL Rumah 2 Lantai Semi Furnish Dalam Komplek di Pondok Kelapa, Duren Sawit  Jakarta Timur","Rp 2,7 Miliar","Pondok Kelapa, Jakarta Timur",4,3,1,153 m²,181 m²,,
2007,Rumah Cluster Elista Village Gading,"Rp 2,1 Miliar","Gading Serpong Elista Village, Tangerang",3,3,2,84 m²,105 m²,,
2008,Dijual Rumah Bagus Strategis Siap Huni Di Graha Bintaro ,"Rp 2,1 Miliar","Graha Bintaro, Jakarta Selatan",4,3,,90 m²,224 m²,,
2009,"Rumah Di Sektor 1 Bintaro, Masih Jakart Selatan Dalam Komplek Elite.","Rp 6,5 Miliar","Sektor 1 - Bintaro, Jakarta Selatan",4,3,2,304 m²,225 m²,,
2010,"DIJUAL CEPAT DAN MURAH RUMAH SIAP HUNI di Jalan H.Usa, Patatnutug Ciseeng ",Rp 350 Juta,"Ciseeng, Bogor",2,1,1,72 m²,72 m²,,
2011,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cibubur, Jakarta Timur",2,1,2,75 m²,36 m²,,
2012,"Jual Cepat Rumah Siap Huni, Di Graha Bintaro","Rp 2,67 Miliar","Graha Bintaro, Jakarta Selatan",2,1,1,160 m²,90 m²,,
2013,Rumah 2 Lantai Gaya Eropa Siap Huni Di Kepala Dua Depok ,Rp 880 Juta,"Kelapa Dua, Depok",3,2,1,58 m²,72 m²,,
2014,Dijual Rumah Kencana Loka Bsd Baru Renov Dekat Sekolah Cikal,"Rp 3,15 Miliar","BSD, Tangerang",4,3,2,200 m²,130 m²,,
2015,Rumah Dijual Cepat Di Cluster Green Park Serpong Garden Cisauk Tangerang,Rp 950 Juta,"Cisauk, Tangerang",3,2,1,84 m²,70 m²,,
2016,Rumah Jepang Semi Furnished 1.5 Lantai akses 5menit ke Tol Desari,Rp 748 Juta,"Pancoran Mas, Depok",3,2,1,60 m²,55 m²,,
2017,Rumah Cantik Wijaya Kesuma Jakarta Barat,"Rp 3,5 Miliar","Grogol, Jakarta Barat",3,3,1,132 m²,200 m²,,
2018,Rumah siap huni spek Bata Merah Akses 8 menit ke MRT Lebak Bulus,"Rp 6,9 Miliar","Lebak Bulus, Jakarta Selatan",4,5,2,313 m²,280 m²,,
2019,Rumah Jual Murah Seperti Baru Di Kota Wisata,"Rp 1,6 Miliar","Kota Wisata, Jakarta Timur",4,4,2,128 m²,200 m²,,
2020,Dijual Rumah Strategis di Daerah Tebet,"Rp 9,7 Miliar","Tebet, Jakarta Selatan",5,4,2,216 m²,430 m²,,
2021,"Dijual Rumah Cluster Beryl, Summarecon Serpong, Lokasi Strategis, Kamar Tidur luas","Rp 3,5 Miliar","Gading Serpong, Tangerang",4,3,1,170 m²,200 m²,,
2022,"Rumah Taman Giriloka, BSD, Rumah luas di kawasan tenang nyaman dan dekat dengan semua fasilitas kota. Harga sangat menarik untuk pembeli.","Rp 3,5 Miliar","BSD, Tangerang",4,3,1,240 m²,250 m²,,
2023,"Compact House Condet Kramatjati Jaktim 370 Jt Swimingpool,playgnd",Rp 370 Juta,"Kramat Jati, Jakarta Timur",2,1,,20 m²,40 m²,,
2024,DI JUAL RUMAH di RAFFLES HILLS CIBUBUR,Rp 900 Juta,"Raffles Hills, Jakarta Timur",2,1,1,90 m²,80 m²,,
2025,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cimanggis, Depok",2,1,2,75 m²,36 m²,,
2026,"DIJUAL Rumah 2 Lantai Semi Furnish Dalam Komplek di Pondok Kelapa, Duren Sawit  Jakarta Timur","Rp 2,7 Miliar","Pondok Kelapa, Jakarta Timur",4,3,1,153 m²,181 m²,,
2027,Rumah Cluster Elista Village Gading,"Rp 2,1 Miliar","Gading Serpong Elista Village, Tangerang",3,3,2,84 m²,105 m²,,
2028,Dijual Rumah Bagus Strategis Siap Huni Di Graha Bintaro ,"Rp 2,1 Miliar","Graha Bintaro, Jakarta Selatan",4,3,,90 m²,224 m²,,
2029,"Rumah Di Sektor 1 Bintaro, Masih Jakart Selatan Dalam Komplek Elite.","Rp 6,5 Miliar","Sektor 1 - Bintaro, Jakarta Selatan",4,3,2,304 m²,225 m²,,
2030,"DIJUAL CEPAT DAN MURAH RUMAH SIAP HUNI di Jalan H.Usa, Patatnutug Ciseeng ",Rp 350 Juta,"Ciseeng, Bogor",2,1,1,72 m²,72 m²,,
2031,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cibubur, Jakarta Timur",2,1,2,75 m²,36 m²,,
2032,"Jual Cepat Rumah Siap Huni, Di Graha Bintaro","Rp 2,67 Miliar","Graha Bintaro, Jakarta Selatan",2,1,1,160 m²,90 m²,,
2033,Rumah 2 Lantai Gaya Eropa Siap Huni Di Kepala Dua Depok ,Rp 880 Juta,"Kelapa Dua, Depok",3,2,1,58 m²,72 m²,,
2034,Dijual Rumah Kencana Loka Bsd Baru Renov Dekat Sekolah Cikal,"Rp 3,15 Miliar","BSD, Tangerang",4,3,2,200 m²,130 m²,,
2035,Rumah Dijual Cepat Di Cluster Green Park Serpong Garden Cisauk Tangerang,Rp 950 Juta,"Cisauk, Tangerang",3,2,1,84 m²,70 m²,,
2036,Rumah Jepang Semi Furnished 1.5 Lantai akses 5menit ke Tol Desari,Rp 748 Juta,"Pancoran Mas, Depok",3,2,1,60 m²,55 m²,,
2037,Rumah Cantik Wijaya Kesuma Jakarta Barat,"Rp 3,5 Miliar","Grogol, Jakarta Barat",3,3,1,132 m²,200 m²,,
2038,Rumah siap huni spek Bata Merah Akses 8 menit ke MRT Lebak Bulus,"Rp 6,9 Miliar","Lebak Bulus, Jakarta Selatan",4,5,2,313 m²,280 m²,,
2039,Rumah Jual Murah Seperti Baru Di Kota Wisata,"Rp 1,6 Miliar","Kota Wisata, Jakarta Timur",4,4,2,128 m²,200 m²,,
2040,Dijual Rumah Strategis di Daerah Tebet,"Rp 9,7 Miliar","Tebet, Jakarta Selatan",5,4,2,216 m²,430 m²,,
2041,"Dijual Rumah Cluster Beryl, Summarecon Serpong, Lokasi Strategis, Kamar Tidur luas","Rp 3,5 Miliar","Gading Serpong, Tangerang",4,3,1,170 m²,200 m²,,
2042,"Rumah Taman Giriloka, BSD, Rumah luas di kawasan tenang nyaman dan dekat dengan semua fasilitas kota. Harga sangat menarik untuk pembeli.","Rp 3,5 Miliar","BSD, Tangerang",4,3,1,240 m²,250 m²,,
2043,"Compact House Condet Kramatjati Jaktim 370 Jt Swimingpool,playgnd",Rp 370 Juta,"Kramat Jati, Jakarta Timur",2,1,,20 m²,40 m²,,
2044,DI JUAL RUMAH di RAFFLES HILLS CIBUBUR,Rp 900 Juta,"Raffles Hills, Jakarta Timur",2,1,1,90 m²,80 m²,,
2045,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cimanggis, Depok",2,1,2,75 m²,36 m²,,
2046,"DIJUAL Rumah 2 Lantai Semi Furnish Dalam Komplek di Pondok Kelapa, Duren Sawit  Jakarta Timur","Rp 2,7 Miliar","Pondok Kelapa, Jakarta Timur",4,3,1,153 m²,181 m²,,
2047,Rumah Cluster Elista Village Gading,"Rp 2,1 Miliar","Gading Serpong Elista Village, Tangerang",3,3,2,84 m²,105 m²,,
2048,Dijual Rumah Bagus Strategis Siap Huni Di Graha Bintaro ,"Rp 2,1 Miliar","Graha Bintaro, Jakarta Selatan",4,3,,90 m²,224 m²,,
2049,"Rumah Di Sektor 1 Bintaro, Masih Jakart Selatan Dalam Komplek Elite.","Rp 6,5 Miliar","Sektor 1 - Bintaro, Jakarta Selatan",4,3,2,304 m²,225 m²,,
2050,"DIJUAL CEPAT DAN MURAH RUMAH SIAP HUNI di Jalan H.Usa, Patatnutug Ciseeng ",Rp 350 Juta,"Ciseeng, Bogor",2,1,1,72 m²,72 m²,,
2051,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cibubur, Jakarta Timur",2,1,2,75 m²,36 m²,,
2052,"Jual Cepat Rumah Siap Huni, Di Graha Bintaro","Rp 2,67 Miliar","Graha Bintaro, Jakarta Selatan",2,1,1,160 m²,90 m²,,
2053,Rumah 2 Lantai Gaya Eropa Siap Huni Di Kepala Dua Depok ,Rp 880 Juta,"Kelapa Dua, Depok",3,2,1,58 m²,72 m²,,
2054,Dijual Rumah Kencana Loka Bsd Baru Renov Dekat Sekolah Cikal,"Rp 3,15 Miliar","BSD, Tangerang",4,3,2,200 m²,130 m²,,
2055,Rumah Dijual Cepat Di Cluster Green Park Serpong Garden Cisauk Tangerang,Rp 950 Juta,"Cisauk, Tangerang",3,2,1,84 m²,70 m²,,
2056,Rumah Jepang Semi Furnished 1.5 Lantai akses 5menit ke Tol Desari,Rp 748 Juta,"Pancoran Mas, Depok",3,2,1,60 m²,55 m²,,
2057,Rumah Cantik Wijaya Kesuma Jakarta Barat,"Rp 3,5 Miliar","Grogol, Jakarta Barat",3,3,1,132 m²,200 m²,,
2058,Rumah siap huni spek Bata Merah Akses 8 menit ke MRT Lebak Bulus,"Rp 6,9 Miliar","Lebak Bulus, Jakarta Selatan",4,5,2,313 m²,280 m²,,
2059,Rumah Jual Murah Seperti Baru Di Kota Wisata,"Rp 1,6 Miliar","Kota Wisata, Jakarta Timur",4,4,2,128 m²,200 m²,,
2060,Dijual Rumah Strategis di Daerah Tebet,"Rp 9,7 Miliar","Tebet, Jakarta Selatan",5,4,2,216 m²,430 m²,,
2061,"Dijual Rumah Cluster Beryl, Summarecon Serpong, Lokasi Strategis, Kamar Tidur luas","Rp 3,5 Miliar","Gading Serpong, Tangerang",4,3,1,170 m²,200 m²,,
2062,"Rumah Taman Giriloka, BSD, Rumah luas di kawasan tenang nyaman dan dekat dengan semua fasilitas kota. Harga sangat menarik untuk pembeli.","Rp 3,5 Miliar","BSD, Tangerang",4,3,1,240 m²,250 m²,,
2063,"Compact House Condet Kramatjati Jaktim 370 Jt Swimingpool,playgnd",Rp 370 Juta,"Kramat Jati, Jakarta Timur",2,1,,20 m²,40 m²,,
2064,DI JUAL RUMAH di RAFFLES HILLS CIBUBUR,Rp 900 Juta,"Raffles Hills, Jakarta Timur",2,1,1,90 m²,80 m²,,
2065,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cimanggis, Depok",2,1,2,75 m²,36 m²,,
2066,"DIJUAL Rumah 2 Lantai Semi Furnish Dalam Komplek di Pondok Kelapa, Duren Sawit  Jakarta Timur","Rp 2,7 Miliar","Pondok Kelapa, Jakarta Timur",4,3,1,153 m²,181 m²,,
2067,Rumah Cluster Elista Village Gading,"Rp 2,1 Miliar","Gading Serpong Elista Village, Tangerang",3,3,2,84 m²,105 m²,,
2068,Dijual Rumah Bagus Strategis Siap Huni Di Graha Bintaro ,"Rp 2,1 Miliar","Graha Bintaro, Jakarta Selatan",4,3,,90 m²,224 m²,,
2069,"Rumah Di Sektor 1 Bintaro, Masih Jakart Selatan Dalam Komplek Elite.","Rp 6,5 Miliar","Sektor 1 - Bintaro, Jakarta Selatan",4,3,2,304 m²,225 m²,,
2070,"DIJUAL CEPAT DAN MURAH RUMAH SIAP HUNI di Jalan H.Usa, Patatnutug Ciseeng ",Rp 350 Juta,"Ciseeng, Bogor",2,1,1,72 m²,72 m²,,
2071,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cibubur, Jakarta Timur",2,1,2,75 m²,36 m²,,
2072,"Jual Cepat Rumah Siap Huni, Di Graha Bintaro","Rp 2,67 Miliar","Graha Bintaro, Jakarta Selatan",2,1,1,160 m²,90 m²,,
2073,Rumah 2 Lantai Gaya Eropa Siap Huni Di Kepala Dua Depok ,Rp 880 Juta,"Kelapa Dua, Depok",3,2,1,58 m²,72 m²,,
2074,Dijual Rumah Kencana Loka Bsd Baru Renov Dekat Sekolah Cikal,"Rp 3,15 Miliar","BSD, Tangerang",4,3,2,200 m²,130 m²,,
2075,Rumah Dijual Cepat Di Cluster Green Park Serpong Garden Cisauk Tangerang,Rp 950 Juta,"Cisauk, Tangerang",3,2,1,84 m²,70 m²,,
2076,Rumah Jepang Semi Furnished 1.5 Lantai akses 5menit ke Tol Desari,Rp 748 Juta,"Pancoran Mas, Depok",3,2,1,60 m²,55 m²,,
2077,Rumah Cantik Wijaya Kesuma Jakarta Barat,"Rp 3,5 Miliar","Grogol, Jakarta Barat",3,3,1,132 m²,200 m²,,
2078,Rumah siap huni spek Bata Merah Akses 8 menit ke MRT Lebak Bulus,"Rp 6,9 Miliar","Lebak Bulus, Jakarta Selatan",4,5,2,313 m²,280 m²,,
2079,Rumah Jual Murah Seperti Baru Di Kota Wisata,"Rp 1,6 Miliar","Kota Wisata, Jakarta Timur",4,4,2,128 m²,200 m²,,
2080,Dijual Rumah Strategis di Daerah Tebet,"Rp 9,7 Miliar","Tebet, Jakarta Selatan",5,4,2,216 m²,430 m²,,
2081,"Dijual Rumah Cluster Beryl, Summarecon Serpong, Lokasi Strategis, Kamar Tidur luas","Rp 3,5 Miliar","Gading Serpong, Tangerang",4,3,1,170 m²,200 m²,,
2082,"Rumah Taman Giriloka, BSD, Rumah luas di kawasan tenang nyaman dan dekat dengan semua fasilitas kota. Harga sangat menarik untuk pembeli.","Rp 3,5 Miliar","BSD, Tangerang",4,3,1,240 m²,250 m²,,
2083,"Compact House Condet Kramatjati Jaktim 370 Jt Swimingpool,playgnd",Rp 370 Juta,"Kramat Jati, Jakarta Timur",2,1,,20 m²,40 m²,,
2084,DI JUAL RUMAH di RAFFLES HILLS CIBUBUR,Rp 900 Juta,"Raffles Hills, Jakarta Timur",2,1,1,90 m²,80 m²,,
2085,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cimanggis, Depok",2,1,2,75 m²,36 m²,,
2086,"DIJUAL Rumah 2 Lantai Semi Furnish Dalam Komplek di Pondok Kelapa, Duren Sawit  Jakarta Timur","Rp 2,7 Miliar","Pondok Kelapa, Jakarta Timur",4,3,1,153 m²,181 m²,,
2087,Rumah Cluster Elista Village Gading,"Rp 2,1 Miliar","Gading Serpong Elista Village, Tangerang",3,3,2,84 m²,105 m²,,
2088,Dijual Rumah Bagus Strategis Siap Huni Di Graha Bintaro ,"Rp 2,1 Miliar","Graha Bintaro, Jakarta Selatan",4,3,,90 m²,224 m²,,
2089,"Rumah Di Sektor 1 Bintaro, Masih Jakart Selatan Dalam Komplek Elite.","Rp 6,5 Miliar","Sektor 1 - Bintaro, Jakarta Selatan",4,3,2,304 m²,225 m²,,
2090,"DIJUAL CEPAT DAN MURAH RUMAH SIAP HUNI di Jalan H.Usa, Patatnutug Ciseeng ",Rp 350 Juta,"Ciseeng, Bogor",2,1,1,72 m²,72 m²,,
2091,3 Juta Langsung Akad! Free Semua Biaya Sampai Saldo Blokir.,Rp 500 Juta,"Cibubur, Jakarta Timur",2,1,2,75 m²,36 m²,,
2092,"Jual Cepat Rumah Siap Huni, Di Graha Bintaro","Rp 2,67 Miliar","Graha Bintaro, Jakarta Selatan",2,1,1,160 m²,90 m²,,
2093,Rumah 2 Lantai Gaya Eropa Siap Huni Di Kepala Dua Depok ,Rp 880 Juta,"Kelapa Dua, Depok",3,2,1,58 m²,72 m²,,
2094,Dijual Rumah Kencana Loka Bsd Baru Renov Dekat Sekolah Cikal,"Rp 3,15 Miliar","BSD, Tangerang",4,3,2,200 m²,130 m²,,
2095,Rumah Dijual Cepat Di Cluster Green Park Serpong Garden Cisauk Tangerang,Rp 950 Juta,"Cisauk, Tangerang",3,2,1,84 m²,70 m²,,
2096,Rumah Jepang Semi Furnished 1.5 Lantai akses 5menit ke Tol Desari,Rp 748 Juta,"Pancoran Mas, Depok",3,2,1,60 m²,55 m²,,
2097,Rumah Cantik Wijaya Kesuma Jakarta Barat,"Rp 3,5 Miliar","Grogol, Jakarta Barat",3,3,1,132 m²,200 m²,,
2098,Rumah siap huni spek Bata Merah Akses 8 menit ke MRT Lebak Bulus,"Rp 6,9 Miliar","Lebak Bulus, Jakarta Selatan",4,5,2,313 m²,280 m²,,
